Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Director
Jodaeiye Nader az Simin,2011,PG-13,123 min,Drama,8.3,Asghar Farhadi
The Intouchables,2011,UA,112 min,Biography,8.5,Olivier Nakache
El cuerpo,2012,,112 min,Mystery,7.6,Oriol Paulo
End of Watch,2012,A,109 min,Action,7.6,David Ayer
Argo,2012,A,120 min,Biography,7.7,Ben Affleck
Silver Linings Playbook,2012,A,122 min,Comedy,7.7,David O. Russell
Skyfall,2012,UA,143 min,Action,7.7,Sam Mendes
The Broken Circle Breakdown,2012,,111 min,Drama,7.7,Felix van Groeningen
Wreck-It Ralph,2012,U,101 min,Animation,7.7,Rich Moore
English Vinglish,2012,U,134 min,Comedy,7.8,Gauri Shinde
Moonrise Kingdom,2012,A,94 min,Comedy,7.8,Wes Anderson
The Hobbit: An Unexpected Journey,2012,UA,169 min,Adventure,7.8,Peter Jackson
Vicky Donor,2012,UA,126 min,Comedy,7.8,Shoojit Sircar
Amour,2012,UA,127 min,Drama,7.9,Michael Haneke
Life of Pi,2012,U,127 min,Adventure,7.9,Ang Lee
The Avengers,2012,UA,143 min,Action,8,Joss Whedon
The Perks of Being a Wallflower,2012,UA,103 min,Drama,8,Stephen Chbosky
Ã”kami kodomo no Ame to Yuki,2012,U,117 min,Animation,8.1,Mamoru Hosoda
Barfi!,2012,U,151 min,Comedy,8.1,Anurag Basu
Kahaani,2012,UA,122 min,Mystery,8.1,Sujoy Ghosh
OMG: Oh My God!,2012,U,125 min,Comedy,8.1,Umesh Shukla
Gangs of Wasseypur,2012,A,321 min,Action,8.2,Anurag Kashyap
Paan Singh Tomar,2012,UA,135 min,Action,8.2,Tigmanshu Dhulia
Jagten,2012,R,115 min,Drama,8.3,Thomas Vinterberg
Django Unchained,2012,A,165 min,Drama,8.4,Quentin Tarantino
The Dark Knight Rises,2012,UA,164 min,Action,8.4,Christopher Nolan
Philomena,2013,PG-13,98 min,Biography,7.6,Stephen Frears
Gravity,2013,UA,91 min,Drama,7.7,Alfonso CuarÃ³n
Kai po che!,2013,U,130 min,Drama,7.7,Abhishek Kapoor
La vie d'AdÃ¨le,2013,A,180 min,Drama,7.7,Abdellatif Kechiche
Nebraska,2013,UA,115 min,Adventure,7.7,Alexander Payne
Star Trek Into Darkness,2013,UA,132 min,Action,7.7,J.J. Abrams
About Time,2013,R,123 min,Comedy,7.8,Richard Curtis
Captain Phillips,2013,UA,134 min,Adventure,7.8,Paul Greengrass
Kaze tachinu,2013,PG-13,126 min,Animation,7.8,Hayao Miyazaki
La grande bellezza,2013,,141 min,Drama,7.8,Paolo Sorrentino
La migliore offerta,2013,R,131 min,Crime,7.8,Giuseppe Tornatore
Le passÃ©,2013,PG-13,130 min,Drama,7.8,Asghar Farhadi
The Hobbit: The Desolation of Smaug,2013,UA,161 min,Adventure,7.8,Peter Jackson
The Lunchbox,2013,U,104 min,Drama,7.8,Ritesh Batra
Before Midnight,2013,R,109 min,Drama,7.9,Richard Linklater
Dallas Buyers Club,2013,R,117 min,Biography,8,Jean-Marc VallÃ©e
Her,2013,A,126 min,Drama,8,Spike Jonze
Kaguyahime no monogatari,2013,U,137 min,Animation,8,Isao Takahata
Short Term 12,2013,R,96 min,Drama,8,Destin Daniel Cretton
Special Chabbis,2013,UA,144 min,Crime,8,Neeraj Pandey
12 Years a Slave,2013,A,134 min,Biography,8.1,Steve McQueen
Prisoners,2013,A,153 min,Crime,8.1,Denis Villeneuve
Rush,2013,UA,123 min,Action,8.1,Ron Howard
Bhaag Milkha Bhaag,2013,U,186 min,Biography,8.2,Rakeysh Omprakash Mehra
Mandariinid,2013,,87 min,Drama,8.2,Zaza Urushadze
Queen,2013,UA,146 min,Adventure,8.2,Vikas Bahl
The Wolf of Wall Street,2013,A,180 min,Biography,8.2,Martin Scorsese
Drishyam,2013,U,160 min,Crime,8.3,Jeethu Joseph
Dawn of the Planet of the Apes,2014,UA,130 min,Action,7.6,Matt Reeves
Leviafan,2014,R,140 min,Crime,7.6,Andrey Zvyagintsev
Birdman or (The Unexpected Virtue of Ignorance),2014,A,119 min,Comedy,7.7,Alejandro G. IÃ±Ã¡rritu
Captain America: The Winter Soldier,2014,UA,136 min,Action,7.7,Anthony Russo
Ex Machina,2014,UA,108 min,Drama,7.7,Alex Garland
Kingsman: The Secret Service,2014,A,129 min,Action,7.7,Matthew Vaughn
Omoide no MÃ¢nÃ®,2014,U,103 min,Animation,7.7,James Simone
The Fault in Our Stars,2014,UA,126 min,Drama,7.7,Josh Boone
The Lego Movie,2014,U,100 min,Animation,7.7,Christopher Miller
The Theory of Everything,2014,U,123 min,Biography,7.7,James Marsh
What We Do in the Shadows,2014,R,86 min,Comedy,7.7,Jemaine Clement
Big Hero 6,2014,U,102 min,Animation,7.8,Don Hall
How to Train Your Dragon 2,2014,U,102 min,Animation,7.8,Dean DeBlois
Pride,2014,R,119 min,Biography,7.8,Matthew Warchus
Boyhood,2014,A,165 min,Drama,7.9,Richard Linklater
Edge of Tomorrow,2014,UA,113 min,Action,7.9,Doug Liman
Nightcrawler,2014,A,117 min,Crime,7.9,Dan Gilroy
X-Men: Days of Future Past,2014,UA,132 min,Action,7.9,Bryan Singer
Guardians of the Galaxy,2014,UA,121 min,Action,8,James Gunn
Mar adentro,2014,U,126 min,Biography,8,Alejandro AmenÃ¡bar
Serbuan maut 2: Berandal,2014,A,150 min,Action,8,Gareth Evans
The Imitation Game,2014,UA,114 min,Biography,8,Morten Tyldum
Gone Girl,2014,A,149 min,Drama,8.1,David Fincher
Haider,2014,UA,160 min,Action,8.1,Vishal Bhardwaj
Kis Uykusu,2014,,196 min,Drama,8.1,Nuri Bilge Ceylan
Mommy,2014,R,139 min,Drama,8.1,Xavier Dolan
PK,2014,UA,153 min,Comedy,8.1,Rajkumar Hirani
Relatos salvajes,2014,R,122 min,Comedy,8.1,DamiÃ¡n Szifron
Song of the Sea,2014,PG,93 min,Animation,8.1,Tomm Moore
The Grand Budapest Hotel,2014,UA,99 min,Adventure,8.1,Wes Anderson
Whiplash,2014,A,106 min,Drama,8.5,Damien Chazelle
Interstellar,2014,UA,169 min,Adventure,8.6,Christopher Nolan
Bridge of Spies,2015,UA,142 min,Drama,7.6,Steven Spielberg
Creed,2015,A,133 min,Drama,7.6,Ryan Coogler
Mustang,2015,PG-13,97 min,Drama,7.6,Deniz Gamze ErgÃ¼ven
Sicario,2015,A,121 min,Action,7.6,Denis Villeneuve
Victoria,2015,,138 min,Crime,7.6,Sebastian Schipper
Beasts of No Nation,2015,,137 min,Drama,7.7,Cary Joji Fukunaga
En man som heter Ove,2015,PG-13,116 min,Comedy,7.7,Hannes Holm
Le Petit Prince,2015,PG,108 min,Animation,7.7,Mark Osborne
Me and Earl and the Dying Girl,2015,PG-13,105 min,Comedy,7.7,Alfonso Gomez-Rejon
Straight Outta Compton,2015,R,147 min,Biography,7.8,F. Gary Gray
The Big Short,2015,A,130 min,Biography,7.8,Adam McKay
The Hateful Eight,2015,A,168 min,Crime,7.8,Quentin Tarantino
Under sandet,2015,R,100 min,Drama,7.8,Martin Zandvliet
Star Wars: Episode VII - The Force Awakens,2015,U,138 min,Action,7.9,J.J. Abrams
BÃ£hubali: The Beginning,2015,UA,159 min,Action,8,S.S. Rajamouli
Baby,2015,UA,159 min,Action,8,Neeraj Pandey
Bajrangi Bhaijaan,2015,UA,163 min,Action,8,Kabir Khan
The Martian,2015,UA,144 min,Adventure,8,Ridley Scott
The Revenant,2015,A,156 min,Action,8,Alejandro G. IÃ±Ã¡rritu
Inside Out,2015,U,95 min,Animation,8.1,Pete Docter
Mad Max: Fury Road,2015,UA,120 min,Action,8.1,George Miller
Room,2015,R,118 min,Drama,8.1,Lenny Abrahamson
Spotlight,2015,A,129 min,Biography,8.1,Tom McCarthy
Drishyam,2015,UA,163 min,Crime,8.2,Nishikant Kamat
Talvar,2015,UA,132 min,Crime,8.2,Meghna Gulzar
Hell or High Water,2016,R,102 min,Action,7.6,David Mackenzie
Moana,2016,U,107 min,Animation,7.6,Ron Clements
Captain America: Civil War,2016,UA,147 min,Action,7.8,Anthony Russo
Forushande,2016,UA,124 min,Drama,7.8,Asghar Farhadi
